V baseinas Sieliø g. 511 m,1641,136,9.557.46,9.557.46,,1.00,vnt,
VI baseinas Architektø g. 2585 m,1643,137,93.547.27,93.547.27,,1.00,vnt,
VI baseinas Lyros g. 1245 m,1645,138,54.448.56,54.448.56,,1.00,vnt,
VI baseinas Gardino g. 1418 m,1647,139,64.874.88,64.874.88,,1.00,vnt,
VI baseinas Aido g. 1377 m,1650,140,70.956.90,70.956.90,,1.00,vnt,
Vi baseinas Grinkevièiaus g. 992 m,1652,141,39.677.94,39.677.94,,1.00,vnt,
VI baseinas Dariaus-Girëno g. 1427 m,1654,142,61.399.44,61.399.44,,1.00,vnt,
VI baseinas Statybininkø g. 714 m,1656,143,512.627.43,512.627.43,,1.00,vnt,
VI baseinas Geguþiø g. 1977 m,1658,144,105.132.07,105.132.07,,1.00,vnt,
VI baseinas Sondeckio g. 188 m,1659,145,1.737.72,1.737.72,,1.00,vnt,
VI baseinas Naujo ryto takas, 370 m,1660,146,4.344.30,4.344.30,,1.00,vnt,
VI baseinas Vilties g. 124 m,1661,147,1.737.72,1.737.72,,1.00,vnt,
VI baseinas Tilþës g. 5283 m,1662,148,3.150.486.56,3.150.486.56,,1.00,vnt,
VI baseinas Dainø III mikr raj, 4023 m,1663,149,87.465.25,87.465.25,,1.00,vnt,
VI baseinas Dainø II mikr raj, 3248 m,1665,150,54.448.56,54.448.56,,1.00,vnt,
VI baseinas Dainø I mikr raj, 3215 m,1672,151,54.448.56,54.448.56,,1.00,vnt,
VI baseinas Dainø IV mikr raj, 4053 m,1676,152,103.973.59,103.973.59,,1.00,vnt,
VI baseinas Ateities g. 80 m,1679,153,868.86,868.86,,1.00,vnt,
VI baseinas Tiesos g. 207 m,1681,154,3.475.44,3.475.44,,1.00,vnt,
VII baseinas Gytariø mikr raj, 2654 m,1682,155,51.841.98,51.841.98,,1.00,vnt,
VII baseinas Gytariø I mikr raj, 2567 m,1683,156,618.338.74,618.338.74,,1.00,vnt,
VII baseinas Gytariø III mikr raj, 725 m,1684,157,176.957.83,176.957.83,,1.00,vnt,
VII baseinas Gytariø IV mikr raj, 1430 m,1685,158,489.168.21,489.168.21,,1.00,vnt,
IX baseinas Pramonës g. 4805 m,1686,159,94.416.13,94.416.13,,1.00,vnt,
IX baseinas Iðradëjø g. 782 m,1688,160,62.268.30,62.268.30,,1.00,vnt,
